MonitoringLocationID,MonitoringLocationName,Date,Characteristic,Value,Unit,Latitude,Longitude,Year
EPA_R7_WQX-LBB1,LBB Upstream,2024-09-19,Zinc,2.45,ug/L,39.0687443414,-95.7722454609,2024
21NEB001_WQX-SLB1LBLUE000,"Little Blue River west of Hollenberg, KS",2024-12-05,Total suspended solids,26.0,mg/L,39.980149,-97.003893,2024
21NEB001_WQX-SLB1LBLUE000,"Little Blue River west of Hollenberg, KS",2024-04-15,Kjeldahl nitrogen,0.683,mg/L,39.980149,-97.003893,2024
21NEB001_WQX-SLB1LBLUE000,"Little Blue River west of Hollenberg, KS",2024-09-30,"Total Phosphorus, mixed forms",0.451,mg/L,39.980149,-97.003893,2024
PEORIAWATER-SP3,Spring River 3,2024-09-30,Dissolved oxygen (DO),9.01,mg/L,37.020535615,-94.7212612884,2024
11NPSWRD_WQX-HTLN_TAPR_MPC36,TAPR Middle Palmer Creek Site 36,2024-05-07,Dissolved oxygen (DO),9.21,mg/L,38.492561,-96.58363,2024
21NEB001_WQX-SLB1LBLUE000,"Little Blue River west of Hollenberg, KS",2024-04-15,Kjeldahl nitrogen,0.746,mg/L,39.980149,-97.003893,2024
21NEB001_WQX-SLB1LBLUE000,"Little Blue River west of Hollenberg, KS",2024-07-08,Chloride,13.8,mg/L,39.980149,-97.003893,2024
21NEB001_WQX-SRE1REPUB000,Republican River south of Hardy,2024-10-07,Dissolved oxygen (DO),16.9,mg/L,39.992569,-97.931967,2024
21NEB001_WQX-SRE1REPUB000,Republican River south of Hardy,2024-06-03,Nitrate + Nitrite,2.33,mg/L,39.992569,-97.931967,2024
EPA_R7_WQX-SC611,Big Creek near Chanute,2024-09-25,Escherichia coli,38.9,MPN/100mL,37.64523,-95.34185,2024
21NEB001_WQX-SRE1REPUB000,Republican River south of Hardy,2024-07-09,Turbidity,88.0,NTU,39.992569,-97.931967,2024
PRAIRIEBAND-SCO3,Big Soldier Creek #3,2024-08-14,Silica,16.0,mg/L,39.3758,-95.9183,2024
PRAIRIEBAND-SCO3,Big Soldier Creek #3,2024-08-14,Sodium,23.0,mg/L,39.3758,-95.9183,2024
21NEB001_WQX-SRE1REPUB000,Republican River south of Hardy,2024-07-02,Total suspended solids,42.0,mg/L,39.992569,-97.931967,2024
PRAIRIEBAND-SCO3,Big Soldier Creek #3,2024-05-30,Atrazine,4.1,ug/L,39.3758,-95.9183,2024
21NEB001_WQX-SLB1LBLUE000,"Little Blue River west of Hollenberg, KS",2024-12-05,Nitrate + Nitrite,2.75,mg/L,39.980149,-97.003893,2024
PEORIAWATER-SP3,Spring River 3,2024-07-30,"Temperature, water",28.52,deg C,37.020535615,-94.7212612884,2024
EPA_R7_WQX-SC720,Marais des Cygnes River near Quenemo,2024-09-26,Escherichia coli,248.1,MPN/100mL,38.579702,-95.52048,2024
21NEB001_WQX-SRE1REPUB000,Republican River south of Hardy,2024-07-16,Specific conductance,787.0,umho/cm,39.992569,-97.931967,2024
21NEB001_WQX-SRE1REPUB000,Republican River south of Hardy,2024-04-10,Sodium,40.8,mg/L,39.992569,-97.931967,2024
PEORIAWATER-N3,Neosho River 3,2024-09-30,Barometric pressure,739.64,mmHg,37.034843598,-95.0735833821,2024
